"Standard Report - Imports"
"Current date: 05/31/2026 5:58 AM (Eastern Daylight Time)"
"Commodity","Country","Time","Customs Value (Gen) ($US)",
"0106 Animals, Live, Nesoi","India","October 2024","2,750"
"0106 Animals, Live, Nesoi","India","December 2024","2,500"
"0106 Animals, Live, Nesoi","India","January 2025","3,500"
"0106 Animals, Live, Nesoi","India","April 2025","5,000"
"0106 Animals, Live, Nesoi","India","July 2025","4,680"
"0206 Ed Offal, Bovine, Swine, Sheep, Goat, Horse, Etc.","India","April 2024","174,821"
"0301 Fish, Live","India","January 2024","2,839"
"0301 Fish, Live","India","February 2024","5,425"
"0301 Fish, Live","India","March 2024","14,707"
"0301 Fish, Live","India","April 2024","2,413"
"0301 Fish, Live","India","May 2024","5,069"
"0301 Fish, Live","India","June 2024","3,000"
"0301 Fish, Live","India","July 2024","3,447"
"0301 Fish, Live","India","September 2024","2,366"
"0301 Fish, Live","India","October 2024","6,444"
"0301 Fish, Live","India","November 2024","2,437"
"0301 Fish, Live","India","December 2024","2,593"
"0301 Fish, Live","India","January 2025","4,883"
"0301 Fish, Live","India","March 2025","4,871"
"0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)","India","January 2024","200,267"
"0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)","India","February 2024","251,275"
"0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)","India","March 2024","191,047"
"0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)","India","April 2024","104,407"
"0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)","India","May 2024","78,157"
"0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)","India","June 2024","73,316"
"0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)","India","July 2024","180,364"
"0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)","India","August 2024","135,220"
"0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)","India","September 2024","102,393"
"0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)","India","October 2024","194,157"
"0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)","India","November 2024","185,125"
"0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)","India","December 2024","87,415"
"0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)","India","January 2025","208,587"
"0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)","India","February 2025","172,524"
"0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)","India","March 2025","284,918"
"0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)","India","April 2025","175,603"
"0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)","India","May 2025","16,732"
"0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)","India","June 2025","152,405"
"0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)","India","July 2025","23,879"
